=== FULL TRACE ===
[ 824.489] PM3< ret=1 content_len=27 card timeout\n\nNikola.D: -4\n
[ 828.444] SERIAL_TX> b'pctbat\r\n'
[ 828.465] SERIAL_TX> b'charge\r\n'
[ 829.916] KEY> KEYM1_PRES!
[ 829.930] PM3> hf 14a info (timeout=5000)
[ 829.931] CONNECT> connect2PM3()
[ 829.936] CONNECT< socket=True
[ 830.144] PM3< ret=1 content_len=13 \nNikola.D: 0\n
[ 830.147] PM3> lf sea (timeout=10000)
[ 831.313] PM3< ret=1 content_len=281 \nNOTE: some demods output possible binary\nif it finds something that looks like a tag\nFalse Positives ARE possible\nChecking for known tags...\nPAC/Stanley - Card: 9AAAAAA0, Raw: FF2049906D3B41D0741D0741D0706D23\n\nValid PAC/Stanley ID found!\n\nCouldn't identify a chipset\n\nNikola.D: 0\n
[ 831.315] CACHE: {"data": "'9AAAAAA0'", "raw": "'FF2049906D3B41D0741D0741D0706D23'", "type": "34", "found": "True", "progress": "1", "return": "34"}
[ 831.573] PM3> lf pac reader (timeout=10000)
[ 831.575] CONNECT> connect2PM3()
[ 831.578] CONNECT< socket=True
[ 831.728] POLL stack=['MainActivity', 'AutoCopyActivity'] type=34 uid=
[ 831.776] PM3< ret=1 content_len=81 PAC/Stanley - Card: 9AAAAAA0, Raw: FF2049906D3B41D0741D0741D0706D23\n\nNikola.D: 0\n
[ 834.386] KEY> KEYM2_PRES!
[ 834.390] START(WarningWriteActivity, {'return': 1, 'data': '9AAAAAA0', 'raw': 'FF2049906D3B41D0741D0741D0706D23'}) bundle={"return": 1, "data": "9AAAAAA0", "raw": "FF2049906D3B41D0741D0741D0706D23"}
[ 834.738] POLL stack=['MainActivity', 'AutoCopyActivity', 'WarningWriteActivity'] type=34 uid=
[ 834.905] KEY> KEYM2_PRES!
[ 834.907] FINISH(top=WarningWriteActivity d=3)
[ 834.933] START(WriteActivity, {'return': 1, 'data': '9AAAAAA0', 'raw': 'FF2049906D3B41D0741D0741D0706D23'}) bundle={"return": 1, "data": "9AAAAAA0", "raw": "FF2049906D3B41D0741D0741D0706D23"}
[ 835.240] POLL stack=['MainActivity', 'AutoCopyActivity', 'WriteActivity'] type=34 uid=
[ 835.254] PM3> lf t55xx wipe -p 20206666 (timeout=10000)
[ 835.256] CONNECT> connect2PM3()
[ 835.259] CONNECT< socket=True
[ 836.114] PM3< ret=1 content_len=441 \nBegin wiping T55x7 tag\n\nDefault configation block 000880E0\nWriting page 0  block: 00  data: 0x000880E0 pwd: 0x20206666\nWriting page 0  block: 01  data: 0x00000000\nWriting page 0  block: 02  data: 0x00000000\nWriting page 0  block: 03  data: 0x00000000\nWriting page 0  block: 04  data: 0x00000000\nWriting page 0  block: 05  data: 0x00000000\nWriting page 0  block: 06  data: 0x00000000\nWriting page 0  block: 07  data: 0x00000000\n\nNikola.D: 0\n
[ 836.114] PM3> lf t55xx detect (timeout=10000)
[ 836.386] PM3< ret=1 content_len=287      Chip type......... T55x7\n     Modulation........ ASK\n     Bit Rate       : 2 - RF/32\n     Inverted       : No\n     Offset         : 32\n     Seq. Term.     : Yes\n     Block0............ 000880E0\n     Downlink Mode  : default/fixed bit length\n     Password set...... No\n\n\nNikola.D: 0\n
[ 836.387] PM3> lf pac clone -r FF2049906D3B41D0741D0741D0706D23 (timeout=10000)
[ 838.484] SERIAL_TX> b'pctbat\r\n'
[ 838.498] SERIAL_TX> b'charge\r\n'
[ 846.400] REWORK> reworkPM3All()
[ 846.401] SERIAL_TX> b'restartpm3\r\n'
[ 848.520] SERIAL_TX> b'pctbat\r\n'
[ 848.532] SERIAL_TX> b'charge\r\n'
[ 849.421] CONNECT> connect2PM3()
[ 849.422] CONNECT< socket=True
[ 857.562] REWORK< socket=True
[ 858.549] SERIAL_TX> b'pctbat\r\n'
[ 858.563] SERIAL_TX> b'charge\r\n'
[ 867.577] REWORK> reworkPM3All()
[ 867.577] SERIAL_TX> b'restartpm3\r\n'
[ 868.579] SERIAL_TX> b'pctbat\r\n'
[ 868.596] SERIAL_TX> b'charge\r\n'
[ 870.596] CONNECT> connect2PM3()
[ 870.597] CONNECT< socket=True
[ 878.614] SERIAL_TX> b'pctbat\r\n'
[ 878.628] SERIAL_TX> b'charge\r\n'
[ 878.738] REWORK< socket=True
[ 882.060] KEY> KEY_PWR_CAN_PRES!
[ 882.063] PRESSPM3> called
[ 882.063] SERIAL_TX> b'presspm3\r\n'
[ 882.077] PRESSPM3< done
[ 882.077] PM3_STOP> stopPM3Task()
[ 888.644] SERIAL_TX> b'pctbat\r\n'
[ 888.657] SERIAL_TX> b'charge\r\n'
[ 888.747] PM3< ret=-1 content_len=31 timeout while waiting for reply
[ 888.788] PM3_STOP< ret=None
[ 888.789] FINISH(top=WriteActivity d=3)
[ 888.823] POLL stack=['MainActivity', 'AutoCopyActivity'] type=34 uid=
[ 892.921] KEY> KEYM2_PRES!
[ 892.924] START(WarningWriteActivity, {'return': 1, 'data': '9AAAAAA0', 'raw': 'FF2049906D3B41D0741D0741D0706D23'}) bundle={"return": 1, "data": "9AAAAAA0", "raw": "FF2049906D3B41D0741D0741D0706D23"}
